TIME_PERIOD;All-items HICP;Food and non-alcoholic beverages;Energy
01.03.1996;NA;NA;NA
01.06.1996;4,331575931;4,075784666;4,347826087
01.09.1996;3,592335677;4,890121921;1,923076923
01.12.1996;3,498989884;3,61058479;3,144654088
01.03.1997;4,202336552;0,604597626;10,06097561
01.06.1997;3,267167041;4,647649354;0,831024931
01.09.1997;2,287002906;1,135388904;2,472527473
01.12.1997;2,860902705;3,051764691;1,340482574
01.03.1998;4,813616049;1,508064909;11,37566138
01.06.1998;1,561599375;1,126700786;-0,237529691
01.09.1998;0,947379674;-0,28618455;0,476190476
01.12.1998;1,091322322;-0,236477004;0,710900474
01.03.1999;2,415907157;-0,527122693;4,705882353
01.06.1999;1,611374548;0,330720292;2,471910112
01.09.1999;2,509375978;3,025447889;4,166666667
01.12.1999;2,882849958;3,212842802;3,789473684
01.03.2000;2,922087707;2,355661434;3,042596349
01.06.2000;1,856402919;1,270768893;5,31496063
01.09.2000;2,185227974;4,186151196;1,121495327
01.12.2000;1,222921909;0,381363543;0,739371534
01.03.2001;0,759874929;-0,098032829;0,550458716
01.06.2001;1,829603943;2,80121829;1,277372263
01.09.2001;0,189447305;-1,082529886;2,342342342
01.12.2001;0,652424109;0,254859995;-0,176056338
01.03.2002;0,825156901;0,720800886;0,352733686
01.06.2002;-0,453380744;-2,246629285;1,054481547
01.09.2002;0,292705143;-0,734379926;2,956521739
01.12.2002;0,135944416;-0,486475662;0,844594595
01.03.2003;0,398153888;-0,292116399;2,680067002
01.06.2003;-0,1665019;0,614096191;-2,610114192
01.09.2003;0,39402873;0,386265573;2,345058626
01.12.2003;1,093531547;1,424162925;1,145662848
01.03.2004;0,446072422;0,717164544;2,103559871
01.06.2004;2,360707854;5,205727789;2,694136292
01.09.2004;0,623192771;0,420376623;1,234567901
01.12.2004;0,831857065;1,181612553;0,914634146
01.03.2005;-0,355853495;-1,166004069;0,755287009
01.06.2005;0,303026654;-0,204491985;1,949025487
01.09.2005;1,078355597;0,921865658;4,264705882
01.12.2005;-0,257597826;-0,783372093;-1,833568406
01.03.2006;-0,177629557;-0,566731984;-0,143678161
01.06.2006;0,731373249;0,495481437;4,748201439
01.09.2006;1,055606171;2,41445232;1,098901099
01.12.2006;-0,230216927;-0,44267478;-2,717391304
01.03.2007;0,779738534;1,625948616;2,793296089
01.06.2007;0,954404887;0,888242659;2,717391304
01.09.2007;1,179332702;2,804548916;0,529100529
01.12.2007;1,322564328;2,470643705;1,842105263
01.03.2008;0,900102916;0,509234802;2,713178295
01.06.2008;0,955080022;1,063299141;3,647798742
01.09.2008;0,832591634;0,488308608;0,849514563
01.12.2008;0,579893991;1,203533103;-1,684717208
01.03.2009;1,558485284;2,150526284;3,916768666
01.06.2009;1,211151127;0,995033147;2,473498233
01.09.2009;0,620966669;-0,158862561;0,689655172
01.12.2009;0,428231208;0,503888713;0,228310502
01.03.2010;0,495925166;-0,025919944;3,075170843
01.06.2010;0,757995053;1,655203541;1,657458564
01.09.2010;0,739198125;1,999967667;0
01.12.2010;0,817513699;0,273202273;2,934782609
01.03.2011;1,639013301;3,113268157;3,801478353
01.06.2011;0,427711837;-0,077604317;0,915564598
01.09.2011;0,531701572;-0,574613709;1,310483871
01.12.2011;1,904979565;2,140829556;3,68159204
01.03.2012;1,060548638;1,899621531;3,262955854
01.06.2012;0,705509721;1,694145588;0,92936803
01.09.2012;0,11818917;-0,586854569;0,368324125
01.12.2012;0,229832057;0,748478807;-1,009174312
01.03.2013;0,039815734;-0,213888483;-0,46339203
01.06.2013;-0,07737368;0,608599101;-1,582867784
01.09.2013;0,689990619;1,177735263;1,135288553
01.12.2013;-0,065968338;-0,193324957;-0,841908326
01.03.2014;-0,005740738;-0,393510584;-0,188679245
01.06.2014;-0,314756986;-1,393401922;-0,56710775
01.09.2014;0,080156329;-0,137316472;0,190114068
01.12.2014;-0,465984647;-1,108218272;-2,941176471
01.03.2015;-0,473632503;-0,744538704;-1,955034213
01.06.2015;0,365130913;0,356646335;1,296111665
01.09.2015;-0,020322321;1,190825262;-2,460629921
01.12.2015;-0,281324361;-0,884497922;-1,311806256
01.03.2016;-0,386595389;0,649469462;-3,169734151
01.06.2016;0,29493344;0,463099674;1,900739176
01.09.2016;0,186334071;-0,098272599;0,414507772
01.12.2016;0,803796999;1,279059528;2,373581011
01.03.2017;0,433635334;1,20035065;0,201612903
01.06.2017;-0,128376504;0,656731885;-2,213279678
01.09.2017;0,498418367;1,11503533;1,95473251
01.12.2017;0,885844187;1,760661706;1,614530777
01.03.2018;-0,488223086;-0,562513997;-0,794438928
01.06.2018;0,472270428;-0,302884524;3,203203203
01.09.2018;0,612908183;1,128827872;0,872938894
01.12.2018;0,310050756;0,7299712;-0,096153846
01.03.2019;0,177261282;1,142785895;-2,021174206
01.06.2019;1,203395165;2,466233069;2,062868369
01.09.2019;0,73477217;2,020431249;-1,539942252
01.12.2019;0,891487661;0,946965964;0,879765396
01.03.2020;0,949596612;2,061304059;0,581395349
01.06.2020;1,165604372;0,338090877;-4,142581888
01.09.2020;0,755723951;-1,024717315;2,311557789
01.12.2020;0,506334703;-0,805060664;1,080550098
01.03.2021;1,847846273;2,154001594;6,705539359
01.06.2021;0,954606864;1,327631474;1,275045537
01.09.2021;2,190427807;1,522405261;4,676258993
01.12.2021;2,818112738;3,109378709;7,130584192
01.03.2022;3,910214599;2,548317024;11,46752205
01.06.2022;4,643461308;5,270123579;11,07913669
01.09.2022;3,497205565;6,148484496;1,230569948
01.12.2022;2,495552451;5,079881495;0
01.03.2023;3,745265193;5,892523585;6,589891235
01.06.2023;0,881082628;0,773673019;-2,821128451
01.09.2023;0,428047697;-0,514585222;-0,555898703
01.12.2023;1,0515356;1,158153769;0,807453416
01.03.2024;0,430511302;-0,308518201;0,246457178
01.06.2024;0,987793585;2,51739007;-0,676090965
01.09.2024;1,708009008;1,038593801;5,198019802
