TIME_PERIOD;OBS_VALUE
1997-Q2;14639
1997-Q3;14684
1997-Q4;14773
1998-Q1;14886
1998-Q2;14866
1998-Q3;14785
1998-Q4;14756
1999-Q1;14739
1999-Q2;14564
1999-Q3;14395
1999-Q4;14278
2000-Q1;14170
2000-Q2;14159
2000-Q3;14189
2000-Q4;14099
2001-Q1;14032
2001-Q2;13932
2001-Q3;13859
2001-Q4;13642
2002-Q1;13605
2002-Q2;13533
2002-Q3;13404
2002-Q4;13340
2003-Q1;13303
2003-Q2;13395
2003-Q3;13284
2003-Q4;13322
2004-Q1;13396
2004-Q2;13443
2004-Q3;13528
2004-Q4;13653
2005-Q1;13689
2005-Q2;13717
2005-Q3;13896
2005-Q4;14022
2006-Q1;14041
2006-Q2;14242
2006-Q3;14497
2006-Q4;14594
2007-Q1;14759
2007-Q2;14951
2007-Q3;15081
2007-Q4;15229
2008-Q1;15415
2008-Q2;15476
2008-Q3;15612
2008-Q4;15693
2009-Q1;15015
2009-Q2;15018
2009-Q3;15080
2009-Q4;15132
2010-Q1;14584
2010-Q2;14724
2010-Q3;14806
2010-Q4;14795
2011-Q1;14789
2011-Q2;14832
2011-Q3;14848
2011-Q4;14862
2012-Q1;14900
2012-Q2;14918
2012-Q3;14884
2012-Q4;14909
2013-Q1;14840
2013-Q2;14879
2013-Q3;14936
2013-Q4;14987
2014-Q1;15094
2014-Q2;15178
2014-Q3;15275
2014-Q4;15319
2015-Q1;15382
2015-Q2;15428
2015-Q3;15521
2015-Q4;15596
2016-Q1;15591
2016-Q2;15656
2016-Q3;15655
2016-Q4;15758
2017-Q1;15836
2017-Q2;15873
2017-Q3;15888
2017-Q4;15919
2018-Q1;15895
2018-Q2;15963
2018-Q3;16002
2018-Q4;16001
2019-Q1;16214
2019-Q2;16350
2019-Q3;16432
2019-Q4;16477
2020-Q1;16463
2020-Q2;16211
2020-Q3;16356
2020-Q4;16420
2021-Q1;16613
2021-Q2;16708
2021-Q3;16831
2021-Q4;16819
2022-Q1;16826
2022-Q2;16847
2022-Q3;16777
2022-Q4;16834
2023-Q1;16875
2023-Q2;16846
2023-Q3;16865
2023-Q4;16851
2024-Q1;16777
2024-Q2;16751
